species,isolate,type,site,dt_test,id_test,rep_isolate,condition,time,dis_obs,c0,lnS
EkA,16-041,clinical,blood,2017-10-10,1,no,test,1,0.05,0.16,-1.16315080980568
EkA,16-042,clinical,blood,2017-10-14,2,no,test,0.5,0.13,0.22,-0.526093095896779
EkA,16-042,clinical,blood,2017-10-14,2,no,test,1,0.12,0.22,-0.606135803570316
EkA,16-044,clinical,blood,2017-10-18,3,no,test,0.5,0.1,0.21,-0.741937344729377
EkA,16-044,clinical,blood,2017-10-18,3,no,test,1,0.09,0.21,-0.847297860387204
EkA,17-336,envr,sink,2018-02-02,4,no,test,0.5,0.1,0.22,-0.78845736036427
EkA,17-336,envr,sink,2018-02-02,4,no,test,1,0.08,0.22,-1.01160091167848
EkA,17-337,envr,sink,2018-02-20,5,no,test,0.5,0.11,0.22,-0.693147180559945
EkA,17-337,envr,sink,2018-02-20,5,no,test,1,0.06,0.22,-1.29928298413026
EkA,ATCC,stock,atcc,2017-05-19,6,no,test,0.5,0.18,0.22,-0.200670695462151
EkA,ATCC,stock,atcc,2017-05-19,6,no,test,1,0.2,0.22,-0.0953101798043248
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,0.5,0.12,0.21,-0.559615787935423
EkM,16-062,clinical,bronch_wash,2017-11-21,7,no,test,1,0.08,0.21,-0.965080896043587
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,0.5,0.1,0.21,-0.741937344729377
EkM,16-062,clinical,bronch_wash,2018-01-20,8,yes,test,1,0.06,0.21,-1.25276296849537
EkM,16-148,clinical,blood,2017-12-30,9,no,test,0.5,0.14,0.19,-0.305381649551182
EkM,16-148,clinical,blood,2017-12-30,9,no,test,1,0.1,0.19,-0.641853886172395
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,0.5,0.1,0.24,-0.8754687373539
EkM,17-276,clinical,sputum,2018-03-06,10,no,test,1,0.09,0.24,-0.980829253011726
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,0.5,0.11,0.22,-0.693147180559945
EkM,2016-08-103-03,envr,unknown,2017-12-15,11,no,test,1,0.11,0.22,-0.693147180559945
EkM,ATCC,stock,atcc,2017-05-01,12,no,test,0.5,0.18,0.23,-0.245122458032985
EkM,ATCC,stock,atcc,2017-05-01,12,no,test,1,0.16,0.23,-0.362905493689369
